"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm thử thêm 1 sản phẩm vào giỏ hàng thành công","325","testAddItemToCart","Smoke Test Suite","Thu May 07 05:29:44 UTC 2026","broken","Thu May 07 05:29:44 UTC 2026","tests.CartTest","Login and Cart Smoke Tests","tests.CartTest","testAddItemToCart"
"Kiểm thử đăng nhập với username/password hợp lệ","577","testLoginSuccess","Smoke Test Suite","Thu May 07 05:29:42 UTC 2026","broken","Thu May 07 05:29:42 UTC 2026","tests.LoginTest","Login and Cart Smoke Tests","tests.LoginTest","testLoginSuccess"
